url,page_title
https://bulletin.miamioh.edu/graduate-fields-study/accountancy/,Accountancy- Master of Accountancy
https://bulletin.miamioh.edu/graduate-fields-study/business-administration/,Business Administration- Master of Business Administration
https://bulletin.miamioh.edu/graduate-fields-study/business-analytics/,Business Analytics- Master of Science in Business Analytics
https://bulletin.miamioh.edu/graduate-fields-study/economics/,Economics- Master of Arts
https://bulletin.miamioh.edu/graduate-fields-study/entrepreneurship-emerging-technology/,Entrepreneurship and Emerging Technology - Master of Entrepreneurship and Emerging Technology
https://bulletin.miamioh.edu/graduate-fields-study/graduate-certificate-advanced-business-analytics/,Advanced Business Analytics Certificate
https://bulletin.miamioh.edu/graduate-fields-study/graduate-certificate-analytics/,Analytics Certificate
https://bulletin.miamioh.edu/graduate-fields-study/graduate-certificate-business-management/,Business Management Certificate
https://bulletin.miamioh.edu/graduate-fields-study/graduate-certificate-entrepreneurship-emerging-technology/,Entrepreneurship and Emerging Technology Certificate
https://bulletin.miamioh.edu/graduate-fields-study/management/,Management - Master of Science in Management
https://bulletin.miamioh.edu/graduate-school/,The Graduate School
https://bulletin.miamioh.edu/,Miami University
https://bulletin.miamioh.edu/liberal-education/,Liberal Education at Miami
https://bulletin.miamioh.edu/liberal-education/knowledge-in-action/,Knowledge in Action
https://bulletin.miamioh.edu/liberal-education/perspective-areas/,Perspectives Areas
https://bulletin.miamioh.edu/liberal-education/signature-inquiry/,Signature Inquiries
https://bulletin.miamioh.edu/other-requirements/,Other Requirements
https://bulletin.miamioh.edu/special-opportunities-programs/,Special Opportunities and Programs
https://miamioh.edu/fsb/student-resources/academic-advising/appointments.html,Appointments
https://miamioh.edu/fsb/student-resources/academic-advising/registration.html,Registration
https://miamioh.edu/fsb/student-resources/academic-advising/academics/majors.html,Majors
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/accountancy.html,Accountancy
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/analytics.html,Analytics Co-Major
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/business-analytics.html,Business Analytics
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/business-economics.html,Business Economics
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/entrepreneurship.html,Entrepreneurship
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/finance.html,Finance
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/human-capital-management-leadership.html,Human Capital Management Leadership
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/information-and-cybersecurity-management.html,Information and Cybersecurity Management
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/marketing.html,Marketing
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/real-estate.html,Real Estate
https://miamioh.edu/fsb/student-resources/academic-advising/academics/departments/supply-chain-and-operations-management.html,Supply Chain and Operations Management
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates1.html,Minors and Certificates
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/accountancy-minor.html,Accountancy Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/arts-mgmt.html,Arts Management Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/business-minor.html,Business Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/ba-minor.html,Business Analytics Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/bgm-certificate.html,Business in the Global Market
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/climacc-eng-minor.html,Climate Accounting and Engineering Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/creativity-esp.html,Creativity Entrepreneurship Certificate
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/cybersec-mgmt.html,Cybersecurity Management Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/cyberacc-mgmt.html,Cybersecurity Management for Accountancy Certificate
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/deals-cert.html,Deals Certificate
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/eco-minor.html,Economics Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/esp-minor.html,Entrepreneurship Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/fin-minor.html,Finance Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/fnd-ba-cert.html,Foundation of Business Analytics Certificate
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/hcml-minor.html,Human Capital Management and Leadership Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/healthcare-sales-cert.html,Healthcare Sales Certificate 
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/is-minor.html,Information Systems Minor
https://miamioh.edu/fsb/student-resources/academic-advising/academics/minors-and-certificates/ib-minor.html,International Business Minor
